1UP Vault	https://1upvault.substack.com	https://1upvault.substack.com/feed	RSS	"Open the vault as we talk about the history, news, events, and impact of the video game industry. There’s also “side vault” with a look at stuff I like outside of video games."	media/sites/1upvault.png	2	0
A16Z Games	https://a16zgames.substack.com/	https://a16zgames.substack.com/feed	RSS	"At A16Z GAMES, we want to empower founders to reinvent the games industry.
This newsletter shares behind-the-scenes looks at that journey, as well a regular news roundup and informed analysis about the stories and trends that are driving the future of the games industry."	media/sites/a16zgames.png	2	0
ATX Game Makers 	 https://blog.atxgamemakers.com 	 https://blog.atxgamemakers.com/feed/	RSS	A place for everyone who wants to get into the games industry!	media/sites/atxgamemakers.png	2	0
Aftermath 	 https://aftermath.site 	 https://aftermath.site/rss	RSS	"Welcome to Aftermath, a worker-owned, reader-supported news site covering video games, the internet, and the cultures that surround them."	media/sites/aftermath.png	1	0
Alan Zuconi 	 https://www.alanzucconi.com 	 https://www.alanzucconi.com/feed	RSS	"Alan Zucconi is Lecturer in Artificial Intelligence and Science Communicator, shortlisted for the Grads in Games Awards 2020 in the Academics category. He currently leads the MA Computer Games: Art & Design and the MSc Computer Games Programming at Goldsmiths, University of London."	media/sites/alanzuconi.png	2	0
Alex Rowe 	https://xander51.medium.com	https://xander51.medium.com/feed	RSS	"Commentary about Games, VR, Tech, Music | Former Pro Audio Editor/ Computer Magazine Game Reviewer."	media/sites/alexrowe.png	2	0
Alexander Ameye 	 https://ameye.dev 	 https://ameye.dev/notes/feed.xml	RSS	"Alex writes about shaders, graphics programming, Unity and other topics that interest me."	media/sites/alexanderameye.png	2	0
Analogue Gaming Blog 	 https://analogue.gg 	 https://analogue.gg/rss.xml	RSS	A personal blog by a writer named Kevin.	media/sites/analoguegamingblog.png	2	0
Aras Pranckevičius 	 https://aras-p.info 	 https://aras-p.info/atom.xml	RSS	A personal blog by Aras Pranckevičius.	media/sites/aras.png	2	0
Break the Loop 	 https://adammirkowski.substack.com/ 	 https://adammirkowski.substack.com/feed	RSS	Adam Mirkowski is a game designer who wants to make entertainment that isn’t a waste of time. They pen a blog about how to create games worth your time.	media/sites/breaktheloop.png	2	0
Buried Treasure 	 https://buried-treasure.org 	 https://buried-treasure.org/feed/	RSS	"Buried Treasure exists to highlight great, interesting, bizarre or downright silly games that you’d otherwise likely miss."	media/sites/buriedtreasure.png	2	0
CRPG Addict 	 https://crpgaddict.blogspot.com 	 http://feeds.feedburner.com/TheCrpgAddict	RSS	"This blog is about my personal journey (roughly chronologically) through 50 years of computer role-playing games (CRPGs). I play each game and discuss its strengths and weaknesses, its place in the history of RPGs, its influences, and just what it's like to play the game today."	media/sites/crpgaddict.png	2	0
Click Nothing 	 https://www.clicknothing.com 	 http://feeds.feedburner.com/ClickNothing	RSS	A personal blog by game developer Clint Hocking.	media/sites/clicknothing.png	2	0
Clockwork Worlds 	 https://www.clockworkworlds.com 	 https://www.clockworkworlds.com/rss	RSS	A personal blog by Austin Walker.	media/sites/clockworkworlds.png	2	0
Critical Distance 	 https://critical-distance.com 	 https://critical-distance.com/archives/feed/	RSS	"Back in 2009, Critical Distance was founded to answer the question: “Where is all the good writing about games?”
Our goal for the last 10 years has always been to facilitate dialogue. Through roundups, roundtables, podcasts, and critical compilations, we provide one place where all the most important discourse is collected together."	media/sites/criticaldistance.png	2	0
Crossplay 	 https://patrickklepek.substack.com 	 https://patrickklepek.substack.com/feed	RSS	"Crossplay Is a community at the intersection of parenting and games by Patrick Klepek.
As a parent, the world of social media, technology, and video games is a scary and confusing place. I'm a reporter who's been covering video games for more than 20 years, and I'm also the parent of two kids. Crossplay is here to guide you through it."	media/sites/crossplay.png	2	0
David Kaye’s Essays 	 https://blog.davidkaye.co/ 	 https://blog.davidkaye.co/feed	RSS	"Hi, I’m David. I’ve spent the past two decades building game companies, and today I run a venture capital fund that invests in the future of media.
In this newsletter, I aim to apply my experience as a founder to my perspective as an investor in the gaming and technology industries."	media/sites/davidkayesessays.png	2	0
Designer Notes 	 http://www.designer-notes.com 	 http://www.designer-notes.com/feed	RSS	Soren Johnson's Game Design Journal.	media/sites/designernotes.png	2	0
Distant Arcade 	 https://distantarcade.co.uk 	 https://distantarcade.co.uk/feed/	RSS	"Distant Arcade is a gaming blog where we discuss video games from the past, present, and future with a focus on just writing about whatever’s on our mind. With that in mind, you won’t find breaking news or anything like that here, just solid writing about games that we all love and, in some cases, truly hate."	media/sites/distantarcade.png	2	0
Donkeyspace 	 https://franklantz.substack.com/ 	 https://franklantz.substack.com/feed	RSS	A personal blog by game designer Frank Lantz.	media/sites/donkeyspace.png	2	0
DownStab 	 https://downstab.com 	 https://downstab.com/feed/	RSS	"Hey there, I’m Jason. Welcome to DownStab, where I share gaming news, insights, and reviews as I delve into my collection of 4000+ games! I have a penchant for retro games so expect to those here as well as random ones you’ve likely never heard about."	media/sites/downstab.png	2	0
Enkisoftware 	 https://www.enkisoftware.com 	 https://www.enkisoftware.com/rss	RSS	"We are independent game developers and consultants specialising in game engines, computer graphics, voxel technology and software testing.
We develop our voxel editor, renderer and game Avoyd whilst providing contract services to the games industry. In the process we create and maintain open source software for game developers."	media/sites/enkisoftware.png	2	0
Ephemeral Enigmas Skip to content 	 https://ephemeralenigmascom.wordpress.com 	 https://ephemeralenigmascom.wordpress.com/feed/	RSS	"Ephemeral Enigmas, as the name (hopefully!) implies, is a blog about the obscure, the forgotten, and the unlucky games that have long since faded from the public consciousness."	media/sites/ephemeral.png	2	0
Fabien Sanglard	 https://fabiensanglard.net 	 https://fabiensanglard.net/rss.xml	RSS	A personal blog by Fabien Sanglard.	media/sites/fabiensanglard.png	2	0
Fragwire 	 https://fragwire.com 	 https://fragwire.com/feed/	RSS	"Co-founded by Ed Cave and Mike Wild, Fragwire is a UK-based company working on solutions to accelerate cloud gaming development and optimise player quality of experience."	media/sites/fragwire.png	2	0
Game File 	 https://www.gamefile.news 	 https://www.gamefile.news/feed	RSS	"A newsletter for people who are curious about the business and culture of video games, from a reporter who has been on the beat for 20 years."	media/sites/gamefile.png	2	0
Game Wisdom 	 http://game-wisdom.com 	 http://game-wisdom.com/feed	RSS	"Game-Wisdom is dedicated to critically examining game design from all platforms, genres and mechanics."	media/sites/gamewisdom.png	2	0
GameDesigning 	 https://www.gamedesigning.org 	 https://feeds.feedburner.com/VideoGameDesigners	RSS	Welcome to the one-stop shop for all things game design (we’re happy you made it). This site is the central hub–it’s where we unpack the craft and touch on the majority of the info you can find throughout the site.	media/sites/gamedesigning.png	2	0
GameDev Reports 	 https://gamedevreports.substack.com 	 https://gamedevreports.substack.com/feed	RSS	"This is a channel with short insights into the game industry. Here you can find different reports, tables, and numbers."	media/sites/gamedevreports.png	2	0
GameFromScratch 	 https://gamefromscratch.com 	 https://gamefromscratch.com/feed	RSS	"Game development news, tutorials, reviews and more."	media/sites/gamefromscratch.png	2	0
GameTek 	 https://gametek.substack.com/ 	 https://gametek.substack.com/feed	RSS	The Math and Science of Gaming.	media/sites/gametek.png	2	0
Gamerdad 	 http://www.gamerdad.com/blog/ 	 http://www.gamerdad.com/blog/feed/	RSS	"Welcome to GamerDad: Gaming with Children. My name is Andrew S. Bub - the GamerDad - and I've been writing about videogames, movies, and children for over 15 years now."	media/sites/gamerdad.png	2	0
Games That Weren't 	 https://www.gamesthatwerent.com 	 http://feeds.feedburner.com/GamesThatWerent	RSS	"We are an Unreleased and Cancelled Video games archive with prototypes, developer history and assets for many computers and consoles of all ages. A non-profit large archive dedicated to preserving games that were never released to the public. Sharing history and stories from the developers, assets and more before it is too late. GTW has been preserving video game history since 1999."	media/sites/gamesthatwerent.png	2	0
GamesIndustry.biz 	 https://www.gamesindustry.biz 	 https://www.gamesindustry.biz/feed	RSS	GamesIndustry.biz is the market leading website and community for news and information about the global video games industry.	media/sites/gamesindustrybiz.png	1	0
GamingOnLinux 	 https://www.gamingonlinux.com 	 https://www.gamingonlinux.com/article_rss.php	RSS	Linux and Steam Deck News + Spicy Opinions about gaming on linux operating systems.	media/sites/gamingonlinux.png	1	0
GearsRealm 	 https://gearsrealm.com 	 https://gearsrealm.com/feed/	RSS	"GearsRealm writes about pop culture, gaming, and games dev."	media/sites/gearsrealm.png	2	0
Get Info 	 https://blog.gingerbeardman.com 	 https://blog.gingerbeardman.com/feed.xml	RSS	A personal blog by Matt Sephton.	media/sites/getinfo.png	2	0
Godot 	 https://godotengine.org 	 https://godotengine.org/rss.xml	RSS	The blog for the open source game engine Godot.	media/sites/godot.png	2	0
Hardcore Gaming 101	http://www.hardcoregaming101.net	http://www.hardcoregaming101.net/feed/	RSS	Promoting the rich history of video game culture throughout the ages.	media/sites/hardcoregaming101.png	2	0
Hercozygaming 	 https://hercozygaming.com 	 https://hercozygaming.com/feed	RSS	Wendy has been a gamer since the late 80s. She loves writing about the games that bring her enjoyment and uses her passion about games to drive many different projects.	media/sites/hercozygaming.png	2	0
